"CALLS_OI","CALLS_Chng_in_OI","CALLS_Volume","CALLS_IV","CALLS_LTP","CALLS_Net_Chng","CALLS_BidQty","CALLS_BidPrice","CALLS_AskPrice","CALLS_AskQty","_Strike_Price","PUTS_BidQty","PUTS_BidPrice","PUTS_AskPrice","PUTS_AskQty","PUTS_Net_Chng","PUTS_LTP","PUTS_IV","PUTS_Volume","PUTS_Chng_in_OI","PUTS_OI","SYMBOL","EXPIRY","DATE","TIME"
"-","-","-","-","-","-","75","2,195.15","2,261.30","75","10650.00","1,800","0.10","0.90","1,800","-","-","-","-","-","2,850","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"9,450","-2,175","33","-","2,185.00","-170.85","75","2,151.75","2,168.65","75","10700.00","4,950","0.10","0.20","3,000","-0.65","0.15","145.83","436","-2,100","778,500","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"225","-","-","-","-","-","75","2,095.10","2,116.70","75","10750.00","75","0.20","1.25","75","-0.30","0.50","-","50","2,175","3,375","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"47,400","-1,725","39","-","2,075.00","-183.65","75","2,051.75","2,067.40","75","10800.00","3,300","0.10","0.25","1,200","-0.95","0.10","131.81","1,133","-14,550","861,525","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"375","-","-","-","-","-","75","1,984.65","2,094.85","75","10850.00","1,800","0.10","1.20","1,800","-1.10","0.15","-","41","-225","6,525","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"17,100","-450","87","-","1,975.00","-185.00","75","1,953.85","1,966.15","75","10900.00","225","0.25","0.75","2,475","-0.80","0.30","134.51","575","-7,125","622,800","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"225","-","2","-","2,150.00","264.00","75","1,892.90","1,975.65","75","10950.00","225","0.50","1.30","75","0.15","1.30","-","25","900","7,800","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"170,700","-34,350","996","-","1,856.45","-206.40","375","1,856.15","1,857.20","75","11000.00","300","0.35","0.40","4,575","-0.85","0.30","125.76","10,469","-220,950","1,690,125","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"150","-","-","-","-","-","75","1,796.65","1,860.60","1,500","11050.00","-","-","1.70","4,800","-1.10","0.20","-","20","-450","11,550","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"22,500","-5,025","143","-","1,757.00","-214.75","75","1,752.65","1,766.85","75","11100.00","3,225","0.25","0.40","5,550","-1.00","0.30","121.32","945","-14,325","406,200","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"225","-","-","-","-","-","75","1,622.70","1,811.35","375","11150.00","-","-","1.70","4,800","-0.90","0.40","-","26","-450","4,275","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"60,975","-6,000","134","-","1,660.00","-207.25","450","1,655.00","1,664.10","375","11200.00","4,125","0.30","0.65","3,000","-1.05","0.30","116.09","2,635","-19,800","727,650","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"750","-","-","-","-","-","75","1,587.25","1,703.35","375","11250.00","75","0.40","1.30","75","-0.10","1.25","-","251","-4,050","53,775","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"49,950","-1,950","55","-","1,566.25","-197.20","75","1,554.20","1,567.40","75","11300.00","2,925","0.25","0.45","4,500","-1.00","0.45","110.82","4,828","-24,450","465,975","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"1,725","-","-","-","-","-","75","1,480.70","1,534.85","75","11350.00","75","0.15","0.80","225","-1.05","0.40","113.93","194","-","22,950","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"84,375","-3,975","284","-","1,462.00","-210.30","675","1,460.00","1,465.55","75","11400.00","1,200","0.30","0.60","3,000","-0.85","0.60","104.41","3,964","-8,475","424,950","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"14,775","-","-","-","-","-","75","1,397.40","1,420.60","75","11450.00","-","-","1.65","75","-1.15","0.30","95.41","72","-1,650","25,950","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
