IDFC,EQ,N,2020101,18.82
ADANIPOWER,EQ,N,2020101,48.24
LTTS,EQ,N,2020101,1444.98
REFEX,EQ,N,2020101,65.76
GNA,EQ,N,2020101,229.80
SHARDACROP,EQ,N,2020101,209.52
CHOLAFIN,EQ,N,2020101,189.48
LGBBROSLTD,EQ,N,2020101,269.58
HDFCBANK,EQ,N,2020101,1201.20
SUBEX,EQ,N,2020101,9.37
SUNPHARMA,EQ,N,2020101,567.72
ESCORTS,EQ,N,2020101,1151.46
SBIN,EQ,N,2020101,204.30
PRICOLLTD,EQ,N,2020101,49.92
BHAGYANGR,EQ,N,2020101,17.58
ORIENTALTL,EQ,N,2020101,10.28
MARICO,EQ,N,2020101,396.96
WHIRLPOOL,EQ,N,2020101,2448.84
APOLLO,EQ,N,2020101,101.70
ALLSEC,EQ,N,2020101,223.38
GODREJCP,EQ,N,2020101,767.46
20MICRONS,EQ,N,2020101,33.00
TATAELXSI,EQ,N,2020101,983.52
BIRLAMONEY,EQ,N,2020101,31.98
BCG,EQ,N,2020101,9.10
BRITANNIA,EQ,N,2020101,4141.14
FCL,EQ,N,2020101,32.76
JAYBARMARU,EQ,N,2020101,185.34
AHLUCONT,EQ,N,2020101,214.08
GRANULES,EQ,N,2020101,217.32
BAYERCROP,EQ,N,2020101,6078.54
ASHAPURMIN,EQ,N,2020101,36.84
IOLCP,EQ,N,2020101,468.48
BASF,EQ,N,2020101,1410.24
TFCILTD,EQ,N,2020101,47.76
INFRATEL,EQ,N,2020101,267.90
KOTHARIPRO,EQ,N,2020101,108.78
MAJESCO,EQ,N,2020101,414.60
BPL,EQ,N,2020101,18.78
CDSL,EQ,N,2020101,307.32
MINDAIND,EQ,N,2020101,352.74
ALKALI,EQ,N,2020101,50.88
EMAMIPAP,EQ,N,2020101,88.14
DRREDDY,EQ,N,2020101,4674.42
BANARBEADS,EQ,N,2020101,39.30
PCJEWELLER,EQ,N,2020101,14.04
CADILAHC,EQ,N,2020101,423.66
APOLLOHOSP,EQ,N,2020101,1632.78
MASTEK,EQ,N,2020101,354.00
SAIL,EQ,N,2020101,37.32
NCC,EQ,N,2020101,32.58
NATHBIOGEN,EQ,N,2020101,402.96
SHREYANIND,EQ,N,2020101,95.34
MANGCHEFER,EQ,N,2020101,47.88
KNRCON,EQ,N,2020101,248.28
PEL,EQ,N,2020101,1414.80
ZEEL,EQ,N,2020101,238.74
AMDIND,EQ,N,2020101,18.36
PRAJIND,EQ,N,2020101,73.56
MTNL,EQ,N,2020101,9.26
DMART,EQ,N,2020101,2857.98
GESHIP,EQ,N,2020101,246.90
AUROPHARMA,EQ,N,2020101,879.84
SCI,EQ,N,2020101,57.78
PNB,EQ,N,2020101,35.10
GARFIBRES,EQ,N,2020101,1656.72
DIVISLAB,EQ,N,2020101,2893.20
AGROPHOS,EQ,N,2020101,12.96
AIAENG,EQ,N,2020101,2031.72
ICICIBANK,EQ,N,2020101,418.08
BEL,EQ,N,2020101,83.58
63MOONS,EQ,N,2020101,70.20
TATACOFFEE,EQ,N,2020101,90.24
MSTCLTD,EQ,N,2020101,137.76
TATAMOTORS,EQ,N,2020101,115.80
ATUL,EQ,N,2020101,5669.76
530355,EQ,N,2020101,94.14
HINDALCO,EQ,N,2020101,169.38
BOSCHLTD,EQ,N,2020101,12598.98
LAXMIMACH,EQ,N,2020101,3266.64
ICICIPRULI,EQ,N,2020101,456.48
LAURUSLABS,EQ,N,2020101,560.40
DIXON,EQ,N,2020101,6237.06
SHK,EQ,N,2020101,70.92
AMBER,EQ,N,2020101,1724.94
538778,EQ,N,2020101,21.42
GTLINFRA,EQ,N,2020101,0.54
ADANIPORTS,EQ,N,2020101,407.94
SCHAEFFLER,EQ,N,2020101,3899.22
JMFINANCIL,EQ,N,2020101,81.54
505710,EQ,N,2020101,42.54
UNIONBANK,EQ,N,2020101,30.78
KDDL,EQ,N,2020101,141.18
PHILIPCARB,EQ,N,2020101,90.60
FAIRCHEM,EQ,N,2020101,592.38
HEROMOTOCO,EQ,N,2020101,2782.08
HDFC,EQ,N,2020101,2176.32
DBCORP,EQ,N,2020101,77.76
TATASTEEL,EQ,N,2020101,383.28
PUNJABCHEM,EQ,N,2020101,542.88
GMMPFAUDLR,EQ,N,2020101,4643.40
RUCHIRA,EQ,N,2020101,48.48
DLF,EQ,N,2020101,188.64
TORNTPOWER,EQ,N,2020101,393.90
FMGOETZE,EQ,N,2020101,545.64
GLENMARK,EQ,N,2020101,466.44
RBLBANK,EQ,N,2020101,152.58
BAJAJ-AUTO,EQ,N,2020101,3355.32
QUESS,EQ,N,2020101,292.02
SPANDANA,EQ,N,2020101,614.58
KPRMILL,EQ,N,2020101,544.56
BFUTILITIE,EQ,N,2020101,189.72
INDOCO,EQ,N,2020101,247.02
RELIANCE,EQ,N,2020101,1842.84
KOTHARIPET,EQ,N,2020101,21.80
JINDALSTEL,EQ,N,2020101,155.16
ESABINDIA,EQ,N,2020101,1715.52
PVR,EQ,N,2020101,1165.62
GALLISPAT,EQ,N,2020101,29.76
UCOBANK,EQ,N,2020101,13.98
NATCOPHARM,EQ,N,2020101,713.94
TEXRAIL,EQ,N,2020101,28.38
